GATEWAYID,SIP REQUEST,OWNER,Type,OPERATOR,,IP,Position,Conso Max
3512,SIP/41.204.96.185/933435120 ,HAINGO,SIMBOX,AIRTEL,COMPTA2,192.168.0.27,2,
3513,SIP/41.204.96.185/933435130 ,HAINGO,SIMBOX,AIRTEL,COMPTA2,192.168.0.27,3,
3514,SIP/41.204.96.185/933435140 ,HAINGO,SIMBOX,AIRTEL,COMPTA2,192.168.0.27,4,
3515,SIP/41.204.96.185/933435150 ,HAINGO,SIMBOX,AIRTEL,COMPTA2,192.168.0.27,5,
3516,SIP/41.204.96.185/933435160 ,HAINGO,SIMBOX,AIRTEL,COMPTA2,192.168.0.27,6,
3517,SIP/41.204.96.185/933435170 ,HAINGO,SIMBOX,AIRTEL,COMPTA2,192.168.0.27,7,
3518,SIP/41.204.96.185/933435180 ,HAINGO,SIMBOX,AIRTEL,COMPTA2,192.168.0.27,8,
3531,SIP/41.204.96.185/933435310 ,HAINGO,SIMBOX,AIRTEL,COMPTA2,192.168.0.104,1,
3532,SIP/41.204.96.185/933435320 ,HAINGO,SIMBOX,AIRTEL,COMPTA2,192.168.0.104,2,
3533,SIP/41.204.96.185/933435330 ,HAINGO,SIMBOX,AIRTEL,COMPTA2,192.168.0.104,3,
3534,SIP/41.204.96.185/933435340 ,HAINGO,SIMBOX,AIRTEL,COMPTA2,192.168.0.104,4,
3535,SIP/41.204.96.185/933435350 ,HAINGO,SIMBOX,AIRTEL,COMPTA2,192.168.0.104,5,
3536,SIP/41.204.96.185/933435360 ,HAINGO,SIMBOX,AIRTEL,COMPTA2,192.168.0.104,6,
3537,SIP/41.204.96.185/933435370 ,HAINGO,SIMBOX,AIRTEL,COMPTA2,192.168.0.104,7,
3538,SIP/41.204.96.185/933435380 ,HAINGO,SIMBOX,AIRTEL,COMPTA2,192.168.0.104,8,
3541,SIP/41.204.96.185/933435410 ,HAINGO,SIMBOX,AIRTEL,COMPTA2,192.168.0.105,1,
3542,SIP/41.204.96.185/933435420 ,HAINGO,SIMBOX,AIRTEL,COMPTA2,192.168.0.105,2,
3543,SIP/41.204.96.185/933435430 ,HAINGO,SIMBOX,AIRTEL,COMPTA2,192.168.0.105,3,
